0 -5.84747e+06   inf    66 12.27071 0.92025
1 -4.53269e+06 2.24845e-01    69 11.18022 0.84546
2 -4.39987e+06 2.93044e-02   104 14.15669 0.75768
3 -4.30337e+06 2.19318e-02   159 17.87263 0.38183
4 -4.23768e+06 1.52652e-02   191 18.16939 0.33505
5 -4.19887e+06 9.15854e-03   220 18.32627 0.32216
6 -4.17181e+06 6.44407e-03   247 18.48165 0.31179
7 -4.15365e+06 4.35242e-03   268 18.52180 0.29853
8 -4.14185e+06 2.84087e-03   286 18.59305 0.28425
9 -4.13371e+06 1.96580e-03   307 18.66860 0.26641
10 -4.12773e+06 1.44604e-03   313 18.68951 0.25231
11 -4.12306e+06 1.13261e-03   327 18.70838 0.24652
12 -4.11918e+06 9.39970e-04   337 18.71846 0.24344
